Maturity (Yrs),10-Jan-18
0.0,6.02
0.5,6.21
1.0,6.38
1.5,6.54
2.0,6.67
2.5,6.80
3.0,6.91
3.5,7.01
4.0,7.10
4.5,7.18
5.0,7.25
5.5,7.31
6.0,7.37
6.5,7.42
7.0,7.47
7.5,7.51
8.0,7.55
8.5,7.58
9.0,7.61
9.5,7.64
10.0,7.66
10.5,7.68
11.0,7.70
11.5,7.72
12.0,7.73
12.5,7.75
13.0,7.76
13.5,7.77
14.0,7.78
14.5,7.79
15.0,7.80
15.5,7.80
16.0,7.81
16.5,7.82
17.0,7.82
17.5,7.83
18.0,7.83
18.5,7.84
19.0,7.84
19.5,7.84
20.0,7.85
20.5,7.85
21.0,7.85
21.5,7.85
22.0,7.86
22.5,7.86
23.0,7.86
23.5,7.86
24.0,7.86
24.5,7.87
25.0,7.87
25.5,7.87
26.0,7.87
26.5,7.87
27.0,7.87
27.5,7.87
28.0,7.87
28.5,7.88
29.0,7.88
29.5,7.88
30.0,7.88
30.5,7.88
31.0,7.88
31.5,7.88
32.0,7.88
32.5,7.88
33.0,7.88
33.5,7.88
34.0,7.88
34.5,7.88
35.0,7.89
35.5,7.89
36.0,7.89
36.5,7.89
37.0,7.89
37.5,7.89
38.0,7.89
38.5,7.89
39.0,7.89
39.5,7.89
40.0,7.89
